,llama_gc_guess,llama_gc_ask_confidence,llama_gc_tok_confidence
56,No,0.8,0.6779734379495518
57,No,0.8,0.834860231380497
58,No,0.8,0.9317871936012947
59,No,0.9,0.9988494060617168
60,No,0.8,0.6492504077027622
61,No,0.8,0.5922093793742069
62,Yes,0.7,0.998567609301954
63,No,0.8,0.962376866790462
64,Yes,0.6,0.8508204390317494
65,Yes,0.8,0.9982062624279602
66,No,0.8,0.9857139416383427
67,No,0.9,0.9991425481936388
68,No,0.8,0.8506195891434158
69,No,0.7,0.7967442570694614
70,No,0.8,0.8344233398250804
71,Yes,0.7,0.9989224375048423
72,Yes,0.7,0.9990484241334887
73,No,0.8,0.9795077275945053
74,No,0.8,0.9038888233908481
75,Yes,0.6,0.7011329125046248
76,No,0.9,0.9998491038195524
77,No,0.9,0.998754266962519
78,No,0.9,0.9963422588975964
79,No,0.9,0.9992404988469438
80,No,0.9,0.9998351607315255
81,No,0.9,0.9991311238085738
82,No,0.9,0.9998504147210302
83,No,0.9,0.9997957170137678
84,No,0.9,0.9993187065656693
85,No,1.0,0.9999021387495836
86,No,0.9,0.9997260129285791
87,No,0.9,0.9996866969655822
88,No,1.0,0.9998029858664612
89,No,0.9,0.9980100730721337
90,Yes,0.6,0.560283393776834
91,No,0.8,0.8925266421306481
92,No,1.0,0.9999040457314982
93,No,0.9,0.9986112357856297
94,No,1.0,0.9998568501347177
95,No,1.0,0.999914891812595
96,No,1.0,0.999778081566788
97,No,0.9,0.9819101898201374
98,No,0.9,0.996320840041926
99,No,1.0,0.9996218919332458
100,No,0.9,0.9999140574916894
101,No,0.9,0.9987782878813434
102,No,0.9,0.9982516391936767
103,No,1.0,0.9998769911463891
104,No,1.0,0.9999107202150285
105,No,0.9,0.9982133893982493
106,No,0.9,0.998909471849147
107,No,0.9,0.9998374249589462
108,No,0.8,0.9874383819595743
109,No,0.9,0.9982285939652841
110,No,0.9,0.9995665045962819
111,No,1.0,0.9998669801283535
112,No,0.9,0.999326563697922
113,No,0.9,0.9997529401969801
114,No,0.9,0.9986020822478147
115,No,0.9,0.9998214563739627
116,No,1.0,0.9999369422603869
117,No,0.9,0.9995146962030703
118,No,1.0,0.9997860651027535
119,No,1.0,0.9999610200823912
120,No,1.0,0.9999259765140984
121,No,1.0,0.9999078597062382
122,No,1.0,0.9998842611792573
123,No,1.0,0.9999270492388316
124,No,1.0,0.999911792908844
125,No,1.0,0.999922043204773
126,No,0.9,0.9928781423115518
127,No,0.8,0.9624761334927183
128,No,0.9,0.9889274795476525
129,No,0.8,0.9737753262679362
130,No,0.9,0.9932068296200991
131,No,0.8,0.49735227327624604
132,No,0.9,0.9989143488789032
133,No,0.9,0.9998301556085302
134,No,0.9,0.998628592373661
135,No,1.0,0.9999362271009362
136,No,0.9,0.9996601306459831
137,No,0.9,0.999577581573787
138,No,0.8,0.9952842511768974
139,No,0.8,0.9234448397976118
140,No,0.9,0.9970983072374497
141,No,0.8,0.9460196634239318
142,No,0.8,0.9901712438857975
143,Yes,0.6,0.9647991148811217
144,No,0.9,0.9990361690825675
145,No,0.9,0.9901505570884843
146,No,0.9,0.9987665150672306
147,No,0.9,0.9992340713408482
148,No,0.9,0.9993081114943354
149,No,0.9,0.9987636611818109
150,No,0.8,0.9901412074581766
151,No,0.9,0.9989069739781332
152,No,0.9,0.9958330707876587
153,No,0.9,0.9982307320988605
154,No,1.0,0.9999309825823998
155,No,0.9,0.9974538707935996
156,No,0.9,0.97382291785986
157,No,0.9,0.9974759315409564
158,No,0.9,0.9987830446250203
159,No,0.9,0.9986016067748643
160,No,0.9,0.999026174914944
161,No,0.9,0.9967536560472167
162,No,0.9,0.9986013689222215
163,No,1.0,0.9996813359301091
164,No,0.9,0.9996525064919777
165,No,0.9,0.9998492229817614
166,No,0.8,0.9977292244144204
167,No,0.8,0.7948205095752829
168,No,0.8,0.8656076417027044
169,No,0.7,0.6201408838726232
170,Yes,0.7,0.9962135228086291
171,Yes,0.6,0.5293023706867207
172,Yes,0.7,0.9930955972247458
173,No,0.7,0.5604330923698854
174,Yes,0.6,0.7488134482751875
175,Yes,0.6,0.8470674447204304
176,No,0.8,0.8512260483106302
177,No,0.8,0.797064116617205
178,No,0.8,0.6200685879170823
179,No,0.9,0.9902035037213865
180,No,0.8,0.9521985121178959
181,No,0.8,0.9620115537077006
182,No,0.8,0.8342941245505334
183,No,0.8,0.9623490429738782
184,No,0.8,0.9135020506173174
185,No,0.8,0.9792902359723714
186,Yes,0.6,0.7952428395300807
187,Yes,0.8,0.9989782293639198
188,Yes,0.9,0.999921208870625
189,No,0.9,0.9901735815865466
190,Yes,0.8,0.9997429316721168
191,Yes,0.9,0.9999040457314982
192,No,0.8,0.8156323284439975
193,No,0.9,0.9974533963318324
194,No,0.7,0.5289075575819333
195,No,0.7,0.7956881939562024
196,Yes,0.6,0.6760073799032427
197,Yes,0.8,0.999216574760583
198,Yes,0.8,0.9996689462356391
199,No,0.8,0.9576371032292251
200,Yes,0.6,0.9652960487291417
201,Yes,0.6,0.9791779836535975
202,No,0.9,0.9997437656902062
203,No,0.9,0.9982347709630576
204,No,0.9,0.9986156342521034
205,No,0.9,0.9990343844128291
206,No,1.0,0.999864477404056
207,Yes,0.6,0.5582148976137264
208,No,0.9,0.9987694880233989
209,No,0.9,0.9986069561492418
210,No,0.9,0.9985972083701755
211,No,0.9,0.9996494092378445
212,No,0.9,0.9991254117522622
213,No,0.9,0.9993109685641688
214,No,0.9,0.9995718644050251
215,No,0.9,0.994014306365162
216,No,0.8,0.9037403197393641
217,No,0.9,0.9932110633355477
218,No,0.9,0.9998057266053867
219,No,0.8,0.8163692585271646
220,No,1.0,0.9997418593267574
221,No,1.0,0.9998828310016988
222,No,1.0,0.9998328965092323
223,No,0.9,0.9967544850187302
224,No,0.8,0.9857896984474563
225,No,0.9,0.9958778774373824
226,No,0.9,0.9987674664029399
227,No,0.9,0.9958711383647184
228,No,0.9,0.8664014474185063
229,No,0.9,0.9994144294514347
230,No,0.9,0.996769526840518
231,No,0.8,0.7535916133651823
232,No,0.8,0.9901824648997273
233,No,0.9,0.9939753206428612
234,Yes,0.6,0.9206517824062905
235,No,0.8,0.8783809098748255
236,No,0.8,0.9519723472135749
237,No,0.9,0.9995251765519373
238,No,0.8,0.9392393804011553
239,No,0.9,0.9996662062353423
240,No,0.8,0.9624245645845972
241,No,0.9,0.9996662062353423
242,No,1.0,0.9999355119347216
243,No,0.9,0.9889042795656381
244,No,0.9,0.9839695440976884
245,No,1.0,0.9999688873432871
246,No,1.0,0.9998968945989909
247,No,1.0,0.9998839036292196
248,No,1.0,0.9998581610609016
249,No,1.0,0.9999024963061419
250,No,1.0,0.9999268108522246
251,No,1.0,0.9999382534007133
252,No,0.9,0.9960230832532133
253,No,0.9,0.9997556806677812
254,No,1.0,0.999937776622214
255,No,1.0,0.9999077405224903
256,No,0.8,0.9522990419751278
257,No,0.8,0.9667461374547763
258,No,1.0,0.9996607262863728
259,No,1.0,0.9999067870239174
260,No,0.9,0.9998104931453705
261,No,1.0,0.9999436171854098
262,No,1.0,0.9998444560679898
263,No,0.9,0.9999187058723578
264,No,0.9,0.9993939498864522
265,No,0.9,0.9987820932744726
266,No,0.9,0.9987665150672306
267,No,0.9,0.9996127198509596
268,No,0.9,0.9986260957862907
269,No,0.8,0.9946791841903186
270,No,1.0,0.9998942725376461
271,No,0.9,0.9997001593541024
272,No,0.9,0.9998550625148414
273,No,1.0,0.9999053567850382
274,No,1.0,0.9998893860165551
275,No,1.0,0.9998641198829178
276,No,0.9,0.9995756758472331
277,No,0.9,0.9999190634421159
278,No,1.0,0.9998228863691635
279,No,1.0,0.9999344391863586
280,No,1.0,0.999963523288439
281,No,0.9,0.9995730554646082
282,No,0.9,0.9982405915813879
283,No,1.0,0.9998550625148414
284,No,1.0,0.9999004701515762
285,No,0.9,0.9986165853278429
286,No,0.9,0.9994505088892472
287,No,0.9,0.893089935052566
288,No,0.9,0.9932223525607982
289,No,1.0,0.9999084556470166
290,No,1.0,0.9999364654825127
291,No,1.0,0.9999436171854098
292,No,0.9,0.9996208198631803
293,No,0.9,0.9990434268886527
294,No,0.9,0.9967546036090562
295,No,0.8,0.9940057080552698
296,No,0.8,0.8517699707264655
297,No,0.9,0.9995152916695347
298,No,0.9,0.9990433079097066
299,No,0.8,0.9795606844220908
300,No,0.8,0.9705471625486953
301,No,0.8,0.999045687549473
302,No,0.9,0.9913580361101211
303,No,0.9,0.9986195573727078
304,No,0.9,0.9980033051642957
305,No,0.9,0.9992439506792993
306,No,0.9,0.9986226482389974
307,No,0.9,0.9995890161257782
308,No,0.8,0.9577597823234811
309,No,0.8,0.992320248798085
310,No,0.9,0.9984554105101331
311,No,0.9,0.9994651557120703
312,No,0.9,0.9987895852717723
313,No,0.9,0.9995250574574381
314,No,0.8,0.9923395003752844
315,No,0.9,0.9989226754339591
316,No,0.8,0.9913464380084887
317,No,0.8,0.9624962340324398
318,No,0.9,0.9989151815080277
319,No,1.0,0.9999582784885006
320,No,0.9,0.9980179096910273
321,No,0.8,0.9982575789119337
322,No,0.9,0.9987867312041575
323,No,0.8,0.6497012063018206
324,No,0.8,0.9952935803145622
325,No,0.9,0.9990404523610992
326,Yes,0.6,0.7747332006949164
327,No,0.8,0.9395983316846741
328,No,1.0,0.9999067870239174
329,No,0.9,0.9998134722644053
330,No,1.0,0.9998219330388024
331,No,1.0,0.9998873599103809
332,No,1.0,0.9999414716651684
333,No,0.9,0.9997237492153236
334,No,0.9,0.9997301829845089
335,No,1.0,0.9998785404885726
336,No,1.0,0.9999166796485691
337,No,1.0,0.9999415908602124
338,No,1.0,0.9999189442570325
339,No,1.0,0.9998998742228323
340,No,1.0,0.9999122696604036
341,No,1.0,0.9998710321894647
342,No,0.9,0.9996221301744268
343,No,1.0,0.9998288447627128
344,No,1.0,0.9999612584807916
345,No,0.9,0.9980308522719925
346,No,1.0,0.9999237118751575
347,No,1.0,0.9999529145487657
348,No,1.0,0.9999367038714213
349,No,0.9,0.9996657297029334
350,No,0.9,0.9996928920054542
351,No,1.0,0.999890458665658
352,No,1.0,0.9999581592914675
353,No,1.0,0.999890577847346
354,No,0.9,0.9997664043650315
355,No,1.0,0.9999150109971953
356,No,1.0,0.9999562521044904
357,No,0.9,0.9998410000951785
358,No,1.0,0.9999291946990259
359,No,1.0,0.9999480274500657
360,No,0.9,0.9998548241599461
361,No,1.0,0.9998953451992663
362,No,1.0,0.9999115545331495
363,No,1.0,0.9999401605169844
364,No,1.0,0.9998988015563536
365,No,1.0,0.999943378794853
366,No,0.9,0.999826818902885
367,No,1.0,0.9999500538028578
368,No,1.0,0.9999485042370907
369,No,1.0,0.9998818775487047
370,No,1.0,0.9999163220796634
371,No,1.0,0.9999651921008026
372,No,1.0,0.9999400413221109
373,No,1.0,0.999935154351806
374,No,1.0,0.9999364654825127
375,No,1.0,0.9999498154071286
376,No,1.0,0.99994635869545
377,No,1.0,0.9999597088831099
378,No,0.9,0.9777838382282803
379,No,0.9,0.9998570884900959
380,No,1.0,0.9998754418066063
381,No,0.9,0.9998825926329088
382,No,0.9,0.9989022160628002
383,No,0.8,0.9857149835889216
384,No,0.9,0.9989085202618878
385,No,0.9,0.9998819967293698
386,No,0.9,0.9998126381008693
387,No,1.0,0.999929313885331
388,No,0.9,0.9998673376650645
389,No,0.9,0.9998861680907007
390,No,0.9,0.9988956739807566
391,No,0.9,0.9996845525421241
392,No,0.9,0.9991043490521961
393,No,0.9,0.9982162402006127
394,No,0.8,0.9952763393914287
395,No,0.9,0.9986055296078549
396,No,0.9,0.9997712896958857
397,No,0.9,0.9970910774913843
398,No,0.9,0.9995155298562198
399,No,0.9,0.9998650732971539
400,No,1.0,0.9998915313159117
401,No,0.9,0.9997207706254957
402,No,0.9,0.9957854310958358
403,No,0.9,0.9995207700067427
404,No,0.9,0.9997326850380543
405,No,0.9,0.9998015559142721
406,No,1.0,0.9999610200823912
407,No,0.9,0.9995149343896135
408,No,0.9,0.9990167758423202
409,No,1.0,0.9996921772023923
410,No,0.9,0.9998202646983083
411,No,0.9,0.998616109847987
412,No,0.9,0.9988938897945706
413,No,0.9,0.995844183457542
414,No,0.9,0.9991283867654002
415,No,0.9,0.9997389998029483
416,No,0.9,0.9997679533758232
417,No,0.9,0.9998634048119248
418,No,0.9,0.9996003318505666
419,No,0.9,0.9974573102417438
420,No,0.9,0.9992841841605266
421,No,0.9,0.997990957092264
422,No,0.8,0.9461631796463605
423,No,0.9,0.9967228634465732
424,No,0.9,0.9995536413296469
425,No,0.8,0.990117717120595
426,Yes,0.6,0.9864773723393263
427,No,0.8,0.9665484186584042
428,No,0.9,0.9998859297211151
429,No,0.9,0.9997656894512126
430,No,0.9,0.9998060840910962
431,No,0.9,0.9998759185262837
432,No,0.9,0.9994495562630015
433,No,0.8,0.5857878713361789
434,Yes,0.6,0.5905448605456753
435,Yes,0.6,0.7761503958839816
436,Yes,0.6,0.8777923816922863
437,No,0.9,0.9991119648382822
438,No,0.9,0.9993871632282983
439,No,0.9,0.9963071135376514
440,No,0.8,0.9794110899043647
441,No,0.9,0.999814306414088
442,No,0.8,0.9931862509860777
443,No,0.8,0.8663933010022129
444,No,0.9,0.9992176459318082
445,No,1.0,0.9999521993597025
446,No,0.8,0.9887098650323464
447,No,0.8,0.9962914941364547
448,No,0.8,0.9900971494703413
449,Yes,0.6,0.831022920221366
450,No,0.8,0.9702570907659862
451,No,0.9,0.9993846628829899
452,No,0.8,0.9873893341304364
453,No,0.9,0.99843378187355
454,No,0.9,0.9993068019727941
455,No,0.8,0.9701492548553896
456,No,0.9,0.9984245126843199
457,No,0.9,0.9984390106282983
458,No,1.0,0.9999075021477618
459,No,0.9,0.9888785161583237
460,No,0.9,0.9952854320872987
461,No,0.9,0.9982268121326977
462,No,0.9,0.9967358908799526
463,No,0.9,0.9996635853826402
464,No,0.9,0.9994456266820636
465,No,0.9,0.9522743936361433
466,No,0.9,0.9993846628829899
467,No,0.9,0.9993865678963391
468,No,0.9,0.998420472355038
469,No,0.9,0.9984289096309615
470,No,1.0,0.9999417100552707
471,No,0.9,0.9996952747345099
472,No,1.0,0.9998912929450474
473,No,1.0,0.9998939149840284
474,No,1.0,0.9999226391540047
475,No,0.9,0.9998628089343713
476,No,0.9,0.9996602497856703
477,No,1.0,0.9999263340864565
478,No,1.0,0.9999492194198731
479,No,1.0,0.9999224007757245
480,No,1.0,0.9998744883679331
481,No,1.0,0.9994763495206755
482,No,1.0,0.9999406372966204
483,No,0.9,0.9997274426708883
484,No,0.9,0.9999042841054026
485,No,0.9,0.9998026283818595
486,No,0.9,0.9997670001414862
487,No,0.9,0.9998971329639152
488,No,1.0,0.9999355119347216
489,No,1.0,0.9999110777746556
490,No,0.9,0.9997496040108929
491,No,1.0,0.9999380150114352
492,No,0.9,0.9739102005495168
493,No,0.9,0.9982467687696134
494,No,1.0,0.999936823065897
495,No,0.9,0.9994682518717328
496,No,1.0,0.999823839714983
497,No,1.0,0.9999510073827051
498,No,1.0,0.9999271684321565
499,No,1.0,0.9999141766761902
500,No,1.0,0.9999324129015863
501,No,1.0,0.9999475506632682
502,No,1.0,0.9999414716651684
503,No,1.0,0.9998609021111264
504,No,0.9,0.961373312899463
505,No,0.8,0.9923213051252419
506,No,1.0,0.999841715121049
507,Yes,0.6,0.6212699927813143
508,Yes,0.8,0.9997444805883478
509,Yes,0.95,0.999929313885331
510,No,0.9,0.9739176635761531
511,No,0.9,0.9974526847557235
512,Yes,0.7,0.9839134532779288
513,No,1.0,0.999937061454891
514,No,0.9,0.9940153663471447
515,No,0.8,0.9667132715457274
516,Yes,0.6,0.7540858685415736
517,Yes,0.6,0.8505816403824269
518,Yes,0.6,0.7761599490805976
519,Yes,0.7,0.9953000753999885
520,Yes,0.9,0.9995884205863002
521,Yes,0.6,0.9138670813317772
522,No,0.8,0.9963471107503923
523,No,0.9,0.9946704564602348
524,No,0.8,0.9621174779293367
525,No,0.9,0.995326882559317
526,No,0.9,0.9971248559127149
527,No,0.9,0.995852458683901
528,Yes,0.7,0.997395521585166
529,No,0.9,0.9874711615692485
530,No,0.9,0.9980030676865255
531,No,0.9,0.9971338640409798
532,No,1.0,0.9999291946990259
533,No,0.9,0.9739232037403487
534,No,0.8,0.7976104640643092
535,No,0.9,0.9963504243602093
536,No,0.9,0.9940124215440962
537,No,0.8,0.49931692000506933
538,Yes,0.6,0.5305631433929948
539,No,0.9,0.49956918357078095
540,No,0.9,0.9667337702919171
541,No,0.9,0.9992171698749537
542,No,0.9,0.9977680305108267
543,No,0.9,0.9738388584251867
544,Yes,0.6,0.9734427669974413
545,Yes,0.7,0.9994451503420663
546,Yes,0.7,0.995230878548416
547,Yes,0.95,0.999898086446007
548,Yes,0.9,0.9999164412717095
549,Yes,0.6,0.9766872984219125
550,Yes,0.8,0.9986020822478147
551,Yes,0.95,0.9999134615475722
552,Yes,0.9,0.9999145342443286
553,Yes,0.9,0.99992728761822
554,Yes,0.7,0.9913216016131192
555,Yes,0.9,0.9998775870469447
556,Yes,0.9,0.9998151405644667
557,Yes,0.8,0.9997898781764606
558,Yes,0.9,0.9999048800367747
559,Yes,0.7,0.9994558674069822
560,Yes,0.9,0.99990261549654
561,Yes,0.9,0.9998886709202175
562,Yes,0.9,0.99992609570002
563,Yes,0.7,0.9998038200073951
564,Yes,0.7,0.9987420191242776
565,Yes,0.8,0.9952608705517668
566,Yes,0.9,0.9999122696604036
567,Yes,0.8,0.9990249851466665
568,Yes,0.7,0.9873946805712682
569,Yes,0.8,0.9991231507365705
570,Yes,0.8,0.998732506515419
571,No,0.8,0.9142821267096557
572,Yes,0.8,0.9997062354195045
573,Yes,0.8,0.9997075459590958
574,Yes,0.9,0.9999277643917183
575,Yes,0.9,0.9999157261341967
576,Yes,0.8,0.9997243449227158
577,Yes,0.8,0.9992918026552542
578,Yes,0.7,0.9939518832886549
579,Yes,0.8,0.9994230025281325
580,No,0.9,0.9997512720879966
581,No,0.9,0.994686968484181
582,No,0.9,0.9913259362352705
583,No,0.9,0.9913185558484237
584,No,0.9,0.9995700777892202
585,No,0.8,0.9667043584000771
586,No,0.9,0.9992389514676614
587,No,0.9,0.9987650881816371
588,No,0.9,0.9946747024360046
589,No,0.9,0.9996907475687071
590,No,0.9,0.9992990641798078
591,No,0.9,0.9043007990554758
592,No,0.9,0.9971275821856719
593,No,0.9,0.966777888006773
594,No,0.7,0.4988402774095838
595,No,0.8,0.8513896782611345
596,No,0.9,0.9858436853480379
597,No,0.7,0.530309231603312
598,No,0.9,0.9996891987939148
599,No,1.0,0.999806918234615
600,No,1.0,0.9998543474648758
601,Yes,0.9,0.999824197207169
602,Yes,0.8,0.9998348032208699
603,No,0.9,0.9147339580100587
604,No,0.9,0.9977358698980782
605,Yes,0.6,0.7306945607023324
606,Yes,0.7,0.9992302625389445
607,No,0.9,0.9996277288148872
608,No,0.9,0.9705642318044283
609,Yes,0.7,0.9888109085953378
610,Yes,0.7,0.9971258042917578
611,Yes,0.6,0.8802813893647791
612,Yes,0.7,0.9963003687767298
613,Yes,0.6,0.9899075221267629
614,No,0.8,0.5616554216031574
615,No,0.9,0.9963413121917086
616,Yes,0.6,0.9912422975301437
617,No,0.9,0.9940213735502343
618,No,0.8,0.7054093968819146
619,No,0.9,0.9963274668658644
620,No,1.0,0.9999274068115732
621,No,0.9,0.880183291181116
622,No,0.9,0.9953083414701744
623,No,1.0,0.9999413524701386
624,No,0.9,0.9998800898331569
625,No,1.0,0.9998796131114907
626,No,0.9,0.9977667251563247
627,No,1.0,0.9997655702989592
628,No,1.0,0.9998999934056426
629,No,1.0,0.9999420676405305
630,No,0.9,0.9778109645153814
631,No,0.9,0.9992206215103957
632,No,0.8,0.9705031457907622
633,No,1.0,0.9998418342969271
634,No,0.9,0.9998699595757519
635,No,0.9,0.9993877585024403
636,No,0.9,0.9987759095180002
637,No,1.0,0.9998920080505355
638,No,0.9,0.9396242235870472
639,No,1.0,0.999819311370447
640,No,1.0,0.9998947492735768
641,No,1.0,0.9998648349398721
642,No,0.9,0.9997560381210482
643,No,0.9,0.9995127907127679
644,No,0.9,0.999029387296371
645,No,1.0,0.9998953451992663
646,No,1.0,0.9999098858976037
647,No,1.0,0.99978344363029
648,No,1.0,0.9998419534582696
649,No,1.0,0.9999486234366107
650,No,1.0,0.9998653116399425
651,No,1.0,0.9999295522725348
652,No,1.0,0.9997776049374032
653,No,1.0,0.9998947492735768
654,No,1.0,0.9997808221647002
655,No,1.0,0.9998984440011163
656,No,0.8,0.9946438022252317
657,No,0.9,0.9992937073170949
658,No,0.8,0.6788705146838951
659,No,0.9,0.9994595589129566
660,No,0.9,0.9996775236776908
661,No,1.0,0.9998557775653183
662,No,0.9,0.9997965511486372
663,No,0.9,0.9971231966578418
664,No,0.9,0.9992269298128366
665,No,0.9,0.9997428125225756
666,No,0.9,0.9998488654660775
667,No,0.9,0.9992275249333745
668,No,0.9,0.9974459245757713
669,No,0.8,0.9523722386728155
670,No,0.9,0.9971292414478428
671,No,0.9,0.9993656132400722
672,No,0.9,0.9995618594965581
673,No,0.9,0.9989181552555889
674,No,0.9,0.9987717474248456
675,No,0.9,0.9994465793045639
676,No,0.9,0.9984305732670156
677,No,0.9,0.9991436192273488
678,No,0.9,0.9974310994379061
679,No,1.0,0.9998637623473573
680,No,0.9,0.9984323558120136
681,No,0.9,0.9995192217861872
682,No,0.8,0.9522068374699602
683,No,0.9,0.9989073307500167
684,No,0.9,0.9993060877366318
685,No,0.9,0.999717315487543
686,No,0.8,0.9874591886640051
687,No,0.8,0.9701374748083542
688,No,0.9,0.9971274635509702
689,No,0.9,0.999140049100061
690,No,0.9,0.9993153732537357
691,No,0.8,0.8170642157498575
692,No,0.8,0.9768401559451364
693,No,1.0,0.9997820137351483
694,No,1.0,0.9997279192327151
695,No,1.0,0.999921447248621
696,No,1.0,0.999890577847346
697,No,1.0,0.999900231778581
698,No,1.0,0.9998421918100967
699,No,0.9,0.9992233590970523
700,No,0.9,0.9998870023665102
701,No,1.0,0.9999038073576505
702,No,1.0,0.999948146649529
703,No,1.0,0.9998839036292196
704,No,1.0,0.9997633063942933
705,No,1.0,0.9998942725376461
706,No,1.0,0.999940756491565
707,No,1.0,0.9998773486866799
708,No,1.0,0.9998957027533953
709,No,1.0,0.9996830038060242
710,No,1.0,0.9999179907332253
711,No,1.0,0.9998783021280804
712,No,1.0,0.9999299098534469
713,No,1.0,0.9998624513992797
714,No,1.0,0.9998727006874217
715,No,1.0,0.9999462394998376
716,No,1.0,0.9999241886396754
717,No,1.0,0.9998909353997704
718,No,1.0,0.9999601856829804
719,No,1.0,0.9998095398413754
720,No,1.0,0.9997245832174104
721,No,1.0,0.9998624513992797
722,No,1.0,0.999889862750156
723,No,1.0,0.9999073829640566
724,No,1.0,0.999896298672378
725,No,1.0,0.9999178715482698
726,No,0.9,0.9995443513877017
727,No,0.9,0.9998855721777559
728,No,0.9,0.9996987297090021
729,No,1.0,0.9998059649340285
730,No,0.9,0.99955256939096
731,No,0.9,0.9995429221690519
732,No,1.0,0.9996409513780614
733,No,1.0,0.9998262230616846
734,No,1.0,0.9997174346340454
735,No,1.0,0.999898920739036
736,No,1.0,0.9999145342443286
737,No,0.9,0.9982149335624844
738,No,1.0,0.9998910545815152
739,No,0.9,0.994667743621455
740,No,1.0,0.9998611404674707
741,No,1.0,0.999910362648254
742,No,0.9,0.8515960777403243
743,No,1.0,0.9998768719663205
744,No,1.0,0.9997976235963071
745,No,1.0,0.9999138191081796
746,No,1.0,0.999869363679742
747,No,1.0,0.9998536324154215
748,No,1.0,0.9999462394998376
749,No,1.0,0.9997515103891096
750,No,1.0,0.9998961794900081
751,No,1.0,0.9998943917270638
752,No,1.0,0.9998971329639152
753,No,1.0,0.9999182291177295
754,No,0.9,0.9993807338480543
755,No,0.9,0.9995766287100558
756,No,1.0,0.999900231778581
757,No,1.0,0.9998289639225073
758,No,0.9,0.999550187351125
759,No,1.0,0.9997836819390714
760,No,0.8,0.9768690501369215
761,No,0.9,0.9980125666090423
762,No,1.0,0.999876276066191
763,No,1.0,0.9997291106819199
764,No,1.0,0.999913580732002
765,No,0.8,0.9912965322660932
766,No,0.8,0.9946438022252317
767,No,0.8,0.9984297413905258
768,No,1.0,0.9998960603076524
769,No,1.0,0.9999367038714213
770,No,1.0,0.9999111969660766
771,No,1.0,0.9999356311290551
772,No,1.0,0.9999202553446581
773,No,1.0,0.9998685294404747
774,No,1.0,0.9998958219357085
775,No,0.9,0.9999363462880796
776,No,0.9,0.997755688137493
777,No,0.9,0.9993207303489283
778,No,0.8,0.880585866332702
779,No,1.0,0.999929313885331
780,No,1.0,0.9997332807798672
781,No,0.9,0.9994765876980807
782,No,1.0,0.998446378587075
783,No,1.0,0.999915368565632
784,No,1.0,0.9999052375943134
785,Yes,0.6,0.5849408712738051
786,No,0.9,0.9322260329538063
787,No,0.8,0.7760910206617408
788,No,1.0,0.9994884962916362
789,No,0.9,0.9987423758372455
790,Yes,0.6,0.7526895801945639
791,No,0.8,0.6783548978463376
792,No,0.9,0.9952896834690385
793,No,0.8,0.9624359372579444
794,No,0.9,0.998202580199282
795,No,0.9,0.9992971595077569
796,Yes,0.6,0.9228694216005926
797,No,0.8,0.9623548973449464
798,Yes,0.6,0.7959869553207578
799,Yes,0.6,0.9888226814755824
800,No,0.9,0.9974053644581994
801,No,1.0,0.999878063767645
802,Yes,0.6,0.6777952314556385
803,No,0.9,0.9901415578717648
804,No,0.9,0.952291258593637
805,No,0.9,0.9990991132656489
806,No,1.0,0.9996111713425146
807,Yes,0.6,0.5611175321866001
808,Yes,0.6,0.5610936193701578
809,No,0.9,0.8930117867892097
810,No,0.9,0.9623530187798658
811,Yes,0.6,0.8344970511016637
